iter	Passed	Remaining
305	5836	3700
306	5853	3680
307	5871	3660
308	5888	3639
309	5905	3619
310	5921	3598
311	5937	3577
312	5957	3559
313	5977	3540
314	5995	3521
315	6013	3501
316	6031	3481
317	6047	3461
318	6064	3440
319	6083	3422
320	6100	3401
321	6116	3381
322	6132	3360
323	6148	3340
324	6163	3318
325	6178	3297
326	6194	3277
327	6209	3256
328	6228	3237
329	6243	3216
330	6257	3195
331	6272	3174
332	6287	3153
333	6301	3132
334	6317	3111
335	6333	3091
336	6349	3071
337	6370	3053
338	6387	3033
339	6403	3013
340	6419	2993
341	6434	2972
342	6452	2953
343	6470	2934
344	6485	2913
345	6498	2892
346	6512	2871
347	6527	2850
348	6541	2830
349	6555	2809
350	6570	2789
351	6585	2768
352	6599	2748
353	6613	2727
354	6627	2707
355	6643	2687
356	6657	2666
357	6673	2647
358	6688	2626
359	6704	2607
360	6718	2586
361	6734	2567
362	6751	2548
363	6769	2529
364	6787	2510
365	6803	2491
366	6820	2471
367	6840	2453
368	6859	2435
369	6876	2416
370	6895	2397
371	6910	2377
372	6928	2359
373	6949	2341
374	6966	2322
375	6981	2302
376	6995	2282
377	7009	2262
378	7024	2242
379	7039	2222
380	7055	2203
381	7072	2184
382	7089	2165
383	7106	2146
384	7123	2127
385	7139	2108
386	7156	2089
387	7174	2070
388	7196	2053
389	7219	2036
390	7236	2017
391	7254	1998
392	7273	1980
393	7290	1961
394	7307	1942
395	7325	1923
396	7342	1905
397	7362	1886
398	7379	1867
399	7396	1849
400	7412	1830
401	7431	1811
402	7453	1794
403	7478	1777
